,Temp(¡ÆC),½Àµµ(%),Wind(km/h),Precip.(mm)
2013-07-31,21,87,7,12.7
2013-07-30,19,75,8,1.02
2013-07-29,19,65,11,0
2013-07-28,17,66,15,0
2013-07-27,16,77,17,0
2013-07-26,19,83,14,9.91
2013-07-25,21,65,8,0
2013-07-24,19,54,13,0
2013-07-23,22,69,18,0.76
2013-07-22,26,68,12,0
2013-07-21,26,67,11,0.25
2013-07-20,27,65,12,1.52
2013-07-19,29,58,23,14.73
2013-07-18,30,65,13,0
2013-07-17,29,67,11,0
2013-07-16,28,73,11,0
2013-07-15,27,73,8,2.29
2013-07-14,27,65,12,0
2013-07-13,23,65,12,0
2013-07-12,22,57,8,0
2013-07-11,23,58,12,0
2013-07-10,24,67,13,0
2013-07-09,26,85,12,0
2013-07-08,26,76,14,12.7
2013-07-07,26,67,11,0
2013-07-06,23,72,7,0
2013-07-05,23,67,8,0
2013-07-04,21,75,8,0
2013-07-03,19,85,9,0.51
2013-07-02,18,73,18,0
2013-07-01,19,58,20,0
2013-06-30,21,58,22,0
2013-06-29,20,77,20,0
2013-06-28,24,63,18,0
2013-06-27,25,72,12,23.37
2013-06-26,23,80,12,37.59
2013-06-25,24,80,11,0.76
2013-06-24,26,72,16,4.57
2013-06-23,25,75,19,21.34
2013-06-22,23,82,14,1.02
2013-06-21,24,74,15,20.07
2013-06-20,22,62,9,0
2013-06-19,18,57,11,0
2013-06-18,18,76,19,0
2013-06-17,23,60,13,0.76
2013-06-16,26,65,15,0
2013-06-15,21,75,12,4.32
2013-06-14,19,60,13,0
2013-06-13,19,77,20,0
2013-06-12,24,78,13,19.05
2013-06-11,22,76,7,0
2013-06-10,20,79,7,6.6
2013-06-09,20,64,14,0.25
2013-06-08,17,57,9,0
2013-06-07,16,60,16,0
2013-06-06,14,77,15,3.81
2013-06-05,18,62,13,0.25
2013-06-04,16,64,10,0
2013-06-03,13,69,8,0
2013-06-02,12,84,10,0.25
2013-06-01,21,81,21,14.22
2013-05-31,22,79,19,7.62
2013-05-30,23,75,24,12.95
2013-05-29,23,79,14,0.25
2013-05-28,19,87,16,5.08
2013-05-27,14,83,15,5.84
2013-05-26,13,66,12,0.51
2013-05-25,11,59,8,0
2013-05-24,9,56,13,0
2013-05-23,9,80,24,1.52
2013-05-22,17,81,12,34.29
2013-05-21,23,74,19,14.22
2013-05-20,25,61,22,27.69
2013-05-19,22,69,12,0
2013-05-18,20,70,10,0
2013-05-17,17,55,11,0
2013-05-16,20,56,8,0
2013-05-15,22,44,14,0
2013-05-14,22,40,19,0
2013-05-13,10,51,9,0
2013-05-12,8,52,18,0
2013-05-11,11,64,20,0
2013-05-10,8,88,16,3.3
2013-05-09,16,73,9,8.13
2013-05-08,18,53,8,0
2013-05-07,17,51,9,0
2013-05-06,16,48,13,0
2013-05-05,15,61,15,0
2013-05-04,16,69,11,0
2013-05-03,7,88,19,1.27
2013-05-02,9,75,25,2.79
2013-05-01,21,59,16,0
2013-04-30,23,56,28,0
2013-04-29,16,73,19,0
2013-04-28,14,79,9,0.76
2013-04-27,13,64,11,0
2013-04-26,11,60,19,0
2013-04-25,7,66,19,1.78
2013-04-24,7,67,20,1.02
2013-04-23,9,74,15,17.78
2013-04-22,12,53,16,0
2013-04-21,6,60,19,0
2013-04-20,4,51,15,0
2013-04-19,3,80,31,0.25
2013-04-18,11,85,25,89.92
2013-04-17,8,81,18,51.05
2013-04-16,9,65,12,0.25
2013-04-15,13,75,22,9.14
2013-04-14,12,59,24,0
2013-04-13,4,63,20,0
2013-04-12,5,81,22,0
2013-04-11,6,96,15,6.1
2013-04-10,4,96,26,23.88
2013-04-09,8,89,19,5.08
2013-04-08,12,80,22,12.45
2013-04-07,10,63,18,0
2013-04-06,12,51,30,1.02
2013-04-05,5,58,19,0
2013-04-04,6,54,13,0
2013-04-03,2,47,11,0
2013-04-02,2,44,14,0
2013-04-01,2,51,19,0
2013-03-31,9,67,23,0
2013-03-30,7,66,15,0
2013-03-29,7,51,5,0
2013-03-28,4,53,8,0
2013-03-27,3,58,12,0
2013-03-26,2,61,14,0
2013-03-25,2,68,25,0
2013-03-24,2,77,30,0.25
2013-03-23,1,63,12,0
2013-03-22,-1,55,9,0
2013-03-21,-4,55,13,0
2013-03-20,-7,57,25,0
2013-03-19,-4,60,34,0
2013-03-18,-2,84,22,2.03
2013-03-17,-1,63,20,0
2013-03-16,1,82,16,0
2013-03-15,2,85,9,5.08
2013-03-14,-1,66,10,0
2013-03-13,-2,57,21,0
2013-03-12,0,74,24,1.27
2013-03-11,5,91,16,1.78
2013-03-10,7,81,14,22.1
2013-03-09,3,73,18,1.02
2013-03-08,-1,77,11,0
2013-03-07,1,67,9,0
2013-03-06,-1,80,20,0
2013-03-05,-1,85,19,16.76
2013-03-04,-3,71,13,0
2013-03-03,-4,58,8,0
2013-03-02,-4,67,18,0
2013-03-01,-2,80,23,0.51
2013-02-28,-1,83,21,0.51
2013-02-27,1,93,18,4.57
2013-02-26,1,85,29,11.43
2013-02-25,0,69,9,0
2013-02-24,-2,66,7,0
2013-02-23,-4,78,17,0
2013-02-22,-2,85,18,5.08
2013-02-21,-3,76,20,1.78
2013-02-20,-9,65,16,0
2013-02-19,-6,73,33,0
2013-02-18,4,77,28,7.37
2013-02-17,-7,52,9,0
2013-02-16,-9,57,17,0
2013-02-15,-3,59,19,0
2013-02-14,2,68,21,0
2013-02-13,0,79,9,0
2013-02-12,-4,79,15,0
2013-02-11,3,69,39,0
2013-02-10,4,86,26,7.37
2013-02-09,-3,82,12,0
2013-02-08,-2,87,19,0
2013-02-07,1,88,13,27.18
2013-02-06,-4,80,11,0
2013-02-05,-7,81,15,0.51
2013-02-04,-6,87,14,4.83
2013-02-03,-9,77,14,1.02
2013-02-02,-9,79,14,3.05
2013-02-01,-14,78,20,0.51
2013-01-31,-10,69,29,0
2013-01-30,1,86,19,11.43
2013-01-29,11,92,21,33.78
2013-01-28,6,88,15,2.03
2013-01-27,-1,82,23,7.37
2013-01-26,-6,56,11,0
2013-01-25,-4,69,19,1.52
2013-01-24,-11,56,17,0
2013-01-23,-8,57,21,0.25
2013-01-22,-15,57,18,0
2013-01-21,-12,52,27,0
2013-01-20,-6,45,26,0
2013-01-19,3,58,27,0
2013-01-18,-1,68,24,0
2013-01-17,-3,60,15,0
2013-01-16,-3,70,22,0
2013-01-15,-6,68,4,0
2013-01-14,-7,68,12,0
2013-01-13,-3,87,17,2.54
2013-01-12,6,74,21,1.52
2013-01-11,8,95,18,7.87
2013-01-10,1,73,14,16
2013-01-09,4,57,23,0
2013-01-08,0,73,13,0
2013-01-07,-2,69,20,0
2013-01-06,-3,78,19,0
2013-01-05,-2,77,15,0.76
2013-01-04,-4,68,21,0
2013-01-03,-4,77,19,0
2013-01-02,-7,58,13,0
2013-01-01,-8,55,14,0
